FIPS,2010 RR_Level,2011 RR_Level,2012 RR_Level,2013 RR_Level,2014 RR_Level,2015 RR_Level,2016 RR_Level,2017 RR_Level,2018 RR_Level,2019 RR_Level,2020 RR_Level,2021 RR_Level,2022 RR_Level
12085,15,16,13,15,11,13,15,15,17,14,15,12,9
12086,7,8,8,7,7,8,9,9,8,8,7,6,6
12087,18,19,14,14,12,17,18,15,15,18,15,16,16
12089,17,16,18,17,9,14,16,16,14,11,17,11,14
12091,12,12,11,8,10,16,14,13,16,15,15,14,17
12093,14,19,18,13,13,17,15,15,17,14,14,15,17
12095,14,12,11,10,12,12,12,11,12,13,12,11,10
12097,11,14,12,10,12,11,11,12,14,12,11,11,10
12099,16,15,14,15,14,16,18,18,16,17,16,14,12
12101,19,19,18,17,16,16,17,16,17,18,18,17,18
12103,19,18,18,16,15,15,16,15,17,18,18,18,18
12105,15,16,13,14,13,12,13,13,13,13,13,12,11
12107,19,18,13,13,11,12,12,13,13,12,12,16,12
12109,12,11,10,9,10,9,11,11,9,9,10,7,8
12111,17,15,14,12,13,13,17,16,14,14,12,11,11
12113,15,15,12,9,10,13,9,12,11,12,14,13,13
12115,17,17,16,15,12,16,14,17,14,14,16,13,10
12117,16,14,11,12,11,12,13,14,13,11,13,12,11
12119,18,17,16,12,14,11,9,8,10,10,11,10,10
12121,11,6,12,8,9,11,0,14,9,9,11,10,13
12123,0,7,19,7,0,9,6,15,15,5,6,15,12
12125,16,13,15,13,12,12,12,13,12,11,12,13,13
12127,17,16,15,16,13,14,14,15,17,17,18,18,18
12129,6,6,6,6,6,5,6,8,8,8,8,13,13
12131,12,9,15,7,9,11,12,10,11,13,12,17,14
12133,14,9,14,7,9,10,14,11,12,15,13,15,13
13001,7,7,6,0,17,7,7,11,7,6,11,12,15
13003,0,7,0,6,13,0,7,9,8,6,12,5,16
13005,6,7,0,0,19,0,0,12,0,6,14,14,15
13007,0,0,0,0,0,5,0,0,0,7,7,5,7
13009,0,0,0,0,0,6,0,0,0,0,0,6,12
13011,17,17,17,0,17,15,12,10,13,16,10,17,13
13013,16,12,15,14,14,13,12,13,12,12,8,9,15
13015,17,16,15,11,14,15,13,15,12,13,14,16,13
13017,0,0,0,0,0,5,5,9,0,4,0,5,0
13019,0,6,0,6,0,0,7,10,9,6,6,5,11
13021,11,12,8,10,9,9,9,9,7,7,6,9,8
13023,0,0,0,7,6,6,6,8,0,0,4,8,7
13025,9,13,12,14,14,14,13,14,11,7,14,14,15
13027,6,6,8,0,5,6,6,0,8,7,0,8,11
13029,10,0,7,7,8,7,9,11,7,6,7,7,8
13031,7,0,6,5,6,5,7,9,6,5,10,8,11
13033,11,8,9,8,8,9,8,12,9,7,14,15,17
13035,11,12,14,11,11,12,11,10,10,8,9,15,9
13037,0,0,6,0,0,0,0,0,0,0,0,4,0
13039,12,17,16,17,7,14,14,14,12,8,15,13,9
13043,0,0,0,0,7,0,5,10,5,0,7,5,12
13045,16,17,14,14,15,13,15,16,10,15,13,15,15
13047,17,15,19,13,15,14,17,17,10,12,12,11,14
13049,0,0,17,16,0,14,15,15,12,0,15,14,15
13051,11,10,10,11,9,9,9,9,10,10,12,10,11
13053,0,0,7,6,6,0,0,5,7,10,7,11,5
13055,16,15,16,18,12,15,13,15,18,14,13,11,12
13057,13,11,11,13,14,16,14,10,13,9,10,8,8
13059,17,12,12,10,9,9,10,8,8,11,7,8,11
13061,0,0,0,0,0,5,0,0,0,0,4,0,0
13063,10,9,12,9,8,9,7,9,8,7,8,8,7
13065,0,9,0,0,0,0,6,0,0,8,10,0,15
13067,10,11,12,13,14,12,12,13,10,10,11,9,9
13069,0,6,6,6,12,5,6,14,15,6,7,8,8
13071,6,6,0,0,5,5,5,6,7,8,5,10,11
13073,13,9,12,9,11,11,10,11,11,10,9,8,9
13075,0,6,0,0,5,6,0,7,9,6,5,8,11
13077,14,11,13,9,9,10,9,11,10,9,7,8,7
13079,9,7,6,8,7,0,6,8,0,7,6,5,8
13081,0,0,6,5,5,0,5,0,5,6,4,7,17
13083,13,14,17,0,15,16,0,16,13,16,14,13,15
13085,16,14,12,17,13,14,12,14,19,8,11,10,13
13087,6,0,0,0,5,5,0,5,0,6,10,4,8
13089,9,8,9,7,9,10,8,8,9,10,8,8,9
13091,0,0,0,6,0,5,6,6,6,5,0,7,5
13093,0,0,6,0,6,0,6,0,6,0,4,6,7
13095,0,0,12,0,0,5,0,0,0,14,7,13,14
13097,12,11,9,9,15,11,14,12,12,12,11,6,8
13099,0,0,6,0,0,0,0,5,0,5,6,4,4
13101,0,7,0,10,0,7,0,9,0,0,0,5,13
13103,8,6,8,8,7,7,8,12,8,7,14,10,8
13105,13,10,10,8,12,8,10,7,10,12,14,10,16
13107,7,0,6,5,6,6,0,7,6,0,7,8,13
13109,8,0,0,0,7,0,7,11,0,4,0,0,9
13111,19,19,16,19,15,12,12,16,16,11,15,15,16
13113,11,11,14,10,11,11,10,9,10,11,6,8,5
13115,17,15,15,15,10,10,12,9,13,12,10,14,11
13117,11,14,9,10,13,13,8,10,8,9,6,6,7
13119,18,18,18,9,18,16,13,10,15,19,13,16,16
13121,13,11,10,12,12,12,11,11,11,10,10,10,10
13123,0,18,15,18,15,14,12,17,16,8,16,11,15
13125,0,0,0,0,0,0,0,0,0,0,0,4,12
13127,12,17,13,17,10,14,10,12,10,10,12,15,13
13129,15,18,15,15,14,13,12,13,13,10,13,9,11
